,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
173,26.0,5.0,-31.0,105.0,0.0680559874309729,0.1217942871878621,10.442940608481225,0.8386989902123958
174,29.0,0.0,-29.0,93.5,0.0634291928479539,0.1071374835102794,10.46795030892998,0.801343273288988
175,29.0,1.0,-30.0,55.0,0.076285148198147,0.1489244231646909,10.398458658388392,0.8442920050309972
176,28.0,2.0,-30.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
177,28.0,3.0,-31.0,83.5,0.0603397693296105,0.1052741899213742,10.48464989551563,0.7027837970631301
178,27.0,4.0,-31.0,76.0,0.085512818878627,0.6159781478599443,10.348579357412843,0.5422671308903765
179,27.0,5.0,-32.0,81.5,0.0608733380050659,0.1206325800450403,10.48176574051317,0.6691583558702195
180,30.0,0.0,-30.0,111.0,0.0703888106079148,0.1294829422253358,10.430330753470733,0.8445588004464851
181,30.0,1.0,-31.0,79.5,0.0634437861764905,0.169034218137814,10.46787142607304,0.6291088864053728
182,29.0,2.0,-31.0,94.0,0.0636308073747793,0.1077470197570082,10.46686050067687,0.8041405110182378
183,29.0,3.0,-32.0,67.5,0.1144620051269069,0.2282501516886479,10.192097269584302,0.8291818606740683
184,28.0,4.0,-32.0,66.0,0.0934044567888465,0.192558574561559,10.305921855195434,0.8342586032894549
185,28.0,5.0,-33.0,90.0,0.0620517544227145,0.1031902208470246,10.47539592203939,0.777166319672721
186,31.0,0.0,-31.0,76.5,0.0763690855287255,0.4875003475136795,10.398004943087985,0.5559182712828733
187,31.0,1.0,-32.0,101.5,0.0666654340813099,0.1172847066430198,10.450457113073991,0.8320567727503889
188,30.0,2.0,-32.0,60.0,0.0796135594978108,0.1591146557085701,10.380467245957789,0.8415065275002538
189,30.0,3.0,-33.0,75.5,0.1182214170248448,0.7671171702364965,10.171776124190044,0.529031628927113
190,29.0,4.0,-33.0,54.5,0.0760288035210493,0.1481044469084904,10.399844305291625,0.8444978547448423
191,29.0,5.0,-34.0,68.5,0.2005975094612695,0.3173443615626821,9.726499948858017,0.8197905044954336
192,32.0,0.0,-32.0,60.5,0.0800821245724617,0.1604743226125309,10.377934461770488,0.8411371612642617
193,32.0,1.0,-33.0,90.0,0.0620517544227145,0.1031902208470246,10.47539592203939,0.777166319672721
194,31.0,2.0,-33.0,106.5,0.0686445794018597,0.1237215935222242,10.439759030260216,0.8407177136721012
195,31.0,3.0,-34.0,114.5,0.0717381160841559,0.1339728256304385,10.423037210355918,0.8458352200932938
196,30.0,4.0,-34.0,51.5,0.0746271586869277,0.1435543234872631,10.407420763854445,0.8454847928906916
197,30.0,5.0,-35.0,115.0,0.0719319459686347,0.1346187137937178,10.421989481250629,0.8459245965088009
198,33.0,0.0,-33.0,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
199,33.0,1.0,-34.0,98.5,0.0654562219249146,0.1134233417513302,10.45699339500046,0.8235922661752592
200,32.0,2.0,-34.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
201,32.0,3.0,-35.0,88.5,0.0614999602208886,0.1018557306365725,10.47837859340061,0.7638998064774354
202,31.0,4.0,-35.0,73.0,0.5681090023436418,1.0633154000106042,7.739951338683037,0.5170590946749022
203,31.0,5.0,-36.0,79.5,0.0634437861764905,0.169034218137814,10.46787142607304,0.6291088864053728
204,34.0,0.0,-34.0,76.0,0.085512818878627,0.6159781478599443,10.348579357412843,0.5422671308903765
205,34.0,1.0,-35.0,106.5,0.0686445794018597,0.1237215935222242,10.439759030260216,0.8407177136721012
206,33.0,2.0,-35.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
207,33.0,3.0,-36.0,63.5,0.0842653790745648,0.1718091398453217,10.35532227527263,0.8383116617321713
208,32.0,4.0,-36.0,111.0,0.0703888106079148,0.1294829422253358,10.430330753470733,0.8445588004464851
209,32.0,5.0,-37.0,114.5,0.0717381160841559,0.1339728256304385,10.423037210355918,0.8458352200932938
210,35.0,0.0,-35.0,67.5,0.1144620051269069,0.2282501516886479,10.192097269584302,0.8291818606740683
211,35.0,1.0,-36.0,77.5,0.0703599255079675,0.3174866662235621,10.430486889146136,0.5821188002311014
212,34.0,2.0,-36.0,103.0,0.0672643241361994,0.1192187776001205,10.447219869534056,0.835272027011608
213,34.0,3.0,-37.0,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
214,33.0,4.0,-37.0,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
215,33.0,5.0,-38.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
216,36.0,0.0,-36.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
217,36.0,1.0,-37.0,62.5,0.0825054811445937,0.167210036179263,10.36483523705626,0.8393991755033577
218,35.0,2.0,-37.0,94.5,0.063832975871432,0.1083628359473526,10.46576769799226,0.8067948390482667
219,35.0,3.0,-38.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
220,34.0,4.0,-38.0,52.0,0.0748480032142509,0.1442777372689833,10.406227009652696,0.8453502408242044
221,34.0,5.0,-39.0,91.5,0.0626320704174189,0.104790460088589,10.472259078824772,0.7885882419068635
222,37.0,0.0,-37.0,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
223,37.0,1.0,-38.0,94.0,0.0636308073747793,0.1077470197570082,10.46686050067687,0.8041405110182378
224,36.0,2.0,-38.0,76.0,0.085512818878627,0.6159781478599443,10.348579357412843,0.5422671308903765
225,36.0,3.0,-39.0,73.5,0.4677949222264291,1.0560195140803696,8.28218960958689,0.5096926251012548
226,35.0,4.0,-39.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
227,35.0,5.0,-40.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
228,38.0,0.0,-38.0,58.5,0.0784080274744031,0.1555292701189834,10.3869836352735,0.8424987525352898
229,38.0,1.0,-39.0,78.0,0.068143183182748,0.2633980872127064,10.442469280093269,0.5945340030284674
230,37.0,2.0,-39.0,64.5,0.0867308547577743,0.1778835447324189,10.341995379687717,0.8369937390180332
231,37.0,3.0,-40.0,48.0,0.073167676295377,0.1387319756532004,10.415309857862828,0.8460586544210993
232,36.0,4.0,-40.0,51.0,0.0744101533830329,0.1428415457658388,10.408593765497116,0.8456069172197892
233,36.0,5.0,-41.0,60.5,0.0800821245724617,0.1604743226125309,10.377934461770488,0.8411371612642617
234,39.0,0.0,-39.0,90.5,0.0622427894523914,0.1037017990457941,10.474363300257352,0.7811665905737101
235,39.0,1.0,-40.0,90.5,0.0622427894523914,0.1037017990457941,10.474363300257352,0.7811665905737101
236,38.0,2.0,-40.0,69.0,0.3996529161916762,0.4468477879948863,8.650524777342305,0.8049199222962171
237,38.0,3.0,-41.0,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
238,37.0,4.0,-41.0,102.5,0.0670651712481728,0.1185741859728212,10.448296371631494,0.8342665769844665
239,37.0,5.0,-42.0,87.5,0.0611583506360017,0.1012266404813661,10.480225131697294,0.7539033426361337
240,40.0,0.0,-40.0,101.0,0.066464879859658,0.1166400370350344,10.45154118994779,0.8308460271924578
241,40.0,1.0,-41.0,80.5,0.0617731482374093,0.1382308777421052,10.476901901419422,0.6499776166744617
242,39.0,2.0,-41.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
243,39.0,3.0,-42.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
244,38.0,4.0,-42.0,108.5,0.0694231287175614,0.1262850501140958,10.435550655580752,0.8427909148998373
245,38.0,5.0,-43.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
246,41.0,0.0,-41.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
247,41.0,1.0,-42.0,52.5,0.0750731645364891,0.1450130539416909,10.40500992142438,0.8452035090484713
248,40.0,2.0,-42.0,53.5,0.0755386519323532,0.1465252367335238,10.402493773338628,0.8448742345989303
249,40.0,3.0,-43.0,88.5,0.0614999602208886,0.1018557306365725,10.47837859340061,0.7638998064774354
250,39.0,4.0,-43.0,98.0,0.0652535551291864,0.1127827199332765,10.458088891193585,0.82187410196883
251,39.0,5.0,-44.0,69.5,0.7137343000874444,0.617248275904761,6.952787567094911,0.7704213232807563
252,42.0,0.0,-42.0,99.5,0.0658607390673664,0.1147079724273518,10.45480681585207,0.8267489114835235
253,42.0,1.0,-43.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
254,41.0,2.0,-43.0,52.0,0.0748480032142509,0.1442777372689833,10.406227009652696,0.8453502408242044
255,41.0,3.0,-44.0,106.0,0.0684488576341929,0.1230796210527276,10.440816985761115,0.8400925138830307
256,40.0,4.0,-44.0,49.5,0.0737781239148184,0.1407562337195934,10.412010141000977,0.8458955017935941
